诊断名,诊断码
霍乱，由于O1群霍乱弧菌，霍乱生物型所致,A00.000
古典生物型霍乱,A00.000x001
霍乱，由于O1群霍乱弧菌，埃尔托生物型所致,A00.100
埃尔托生物型霍乱,A00.100x001
霍乱,A00.900
霍乱轻型,A00.900x002
霍乱中型,A00.900x003
霍乱重型,A00.900x004
霍乱暴发型,A00.900x005
伤寒,A01.000
伤寒复发,A01.000x004
伤寒并发肺炎,A01.000x005+J17.0*
伤寒迁延型,A01.000x006
伤寒逍遥型,A01.000x007
伤寒并发腹膜炎,A01.000x008
伤寒并发肠穿孔,A01.000x009
伤寒并发肠出血,A01.000x010
伤寒并发中毒性肝炎,A01.000x011
伤寒并发支气管炎,A01.000x012
伤寒并发胆囊炎,A01.000x014
伤寒并发中毒性心肌炎,A01.000x016+I41.0*
伤寒轻型,A01.000x017
伤寒普通型,A01.000x018
伤寒暴发型,A01.000x019
伤寒再燃,A01.000x020
伤寒性肝炎,A01.001+K77.0*
伤寒性脑膜炎,A01.002+G01*
伤寒杆菌性脓毒症,A01.003
副伤寒甲,A01.100
副伤寒乙,A01.200
副伤寒丙,A01.300
副伤寒,A01.400
沙门菌肠炎,A02.000
婴儿沙门菌肠炎,A02.000x005
C群沙门菌肠炎,A02.000x006
B群沙门菌肠炎,A02.000x007
沙门菌小肠炎,A02.000x009
猪霍乱沙门菌肠炎,A02.000x010
阿哥拉沙门菌肠炎,A02.001
沙门菌伦敦血清型肠炎,A02.002
沙门菌胃肠炎,A02.003
鼠伤寒沙门菌肠炎,A02.004
沙门菌脓毒症,A02.100
鼠伤寒沙门菌脓毒症,A02.100x002
猪霍乱沙门菌脓毒症,A02.101
局限性沙门菌感染,A02.200
沙门菌肺炎,A02.201+J17.0*
沙门菌关节炎,A02.202+M01.3*
沙门菌脑膜炎,A02.203+G01*
沙门菌骨髓炎,A02.204+M90.2*
沙门菌性肾小管-间质病变,A02.205+N16.0*
沙门菌感染，其他特指的,A02.800
沙门菌感染,A02.900
鼠伤寒沙门菌感染,A02.900x002
沙门菌属食物中毒,A02.900x003
亚利桑那菌感染,A02.900x004
猪霍乱沙门菌感染,A02.901
志贺痢疾杆菌引起的细菌性痢疾,A03.000
痢疾志贺菌痢疾,A03.000x001
弗氏志贺菌引起的细菌性痢疾,A03.100
福氏志贺菌痢疾,A03.100x001
波氏志贺菌引起的细菌性痢疾,A03.200
鲍氏志贺菌痢疾,A03.200x001
宋内志贺菌引起的细菌性痢疾,A03.300
宋内志贺菌痢疾,A03.300x001
细菌性痢疾，其他的,A03.800
不定型志贺菌痢疾,A03.800x001
菌痢混合感染,A03.800x002
细菌性痢疾,A03.900
慢性细菌性痢疾急性发作,A03.900x002
慢性隐匿型菌痢,A03.900x005
中毒型菌痢休克型,A03.900x007
中毒型菌痢脑型,A03.900x008
中毒型菌痢混合型,A03.900x009
急性细菌性痢疾,A03.901
慢性迁延型细菌性痢疾,A03.902
慢性细菌性痢疾,A03.903
中毒型细菌性痢疾,A03.904
肠道病原性大肠杆菌感染,A04.000
新生儿肠致病性大肠杆菌肠炎,A04.000x001
肠致病性大肠杆菌肠炎,A04.000x002
肠毒性大肠杆菌感染,A04.100
肠毒性大肠杆菌肠炎,A04.100x001
新生儿肠毒性大肠杆菌肠炎,A04.100x002
肠侵袭性大肠杆菌感染,A04.200
肠侵袭性大肠杆菌肠炎,A04.200x001
新生儿肠侵袭性大肠杆菌肠炎,A04.200x002
肠出血性大肠杆菌感染,A04.300
肠出血性大肠杆菌肠炎,A04.300x001
新生儿肠出血性大肠杆菌肠炎,A04.301
肠道大肠杆菌感染，其他的,A04.400
新生儿肠粘附性大肠杆菌肠炎,A04.400x003
肠粘附性大肠杆菌肠炎,A04.400x004
大肠杆菌性肠炎,A04.401
新生儿大肠杆菌肠炎,A04.402
弯曲菌肠炎,A04.500
小肠结肠耶尔森菌性小肠炎,A04.600
耶尔森菌肠炎,A04.600x001
艰难梭状芽孢杆菌性小肠结肠炎,A04.700
抗生素相关性肠炎,A04.700x002
艰难梭状芽孢杆菌性食物中毒,A04.701
伪膜性结肠炎,A04.702
细菌性肠道感染，其他特指的,A04.800
吡邻单胞菌肠炎,A04.800x001
产气杆菌肠炎,A04.800x003
副溶血弧菌肠炎,A04.800x006
金黄色葡萄球菌肠炎,A04.800x007
嗜水气单胞菌肠炎,A04.800x010
变形杆菌肠炎,A04.801
铜绿假单胞菌肠炎,A04.802
厌氧菌肠炎,A04.803
细菌性肠道感染,A04.900
细菌性结肠炎,A04.901
细菌性腹泻,A04.902
食物媒介的葡萄球菌性食物中毒,A05.000
葡萄球菌食物中毒,A05.000x001
肉毒中毒,A05.100
食物媒介的产气荚膜梭状芽孢杆菌［韦尔希梭状芽孢杆菌］食物中毒,A05.200
急性出血性坏死性肠炎,A05.200x002
急性坏死性肠炎,A05.202
食物媒介的副溶血性弧菌食物中毒,A05.300
副溶血性弧菌食物中毒,A05.300x001
食物媒介的蜡样芽孢杆菌食物中毒,A05.400
蜡样芽胞杆菌食物中毒,A05.400x001
食物中毒，其他特指的细菌性,A05.800
细菌性食物中毒,A05.900
急性阿米巴痢疾,A06.000
阿米巴肠炎,A06.000x001
阿米巴结肠炎,A06.001
阿米巴痢疾,A06.002
慢性肠阿米巴病,A06.100
阿米巴肠溃疡,A06.100x002
阿米巴非痢疾性结肠炎,A06.200
非痢疾性阿米巴结肠炎,A06.200x001
肠道阿米巴瘤,A06.300
阿米巴肉芽肿,A06.300x001
阿米巴肝脓肿,A06.400+K77.0*
阿米巴肺脓肿,A06.500+J99.8*
